millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
206,1,2.221502,0,0.000000,2.221502
545,2,5.222974,0,0.000000,5.222974
755,3,8.462704,0,0.000000,8.462704
926,3,8.462704,0,0.000000,8.462704
1085,4,11.412801,1,0.000000,10.271520
1125,5,14.144770,1,0.000000,12.730293
1136,5,14.144770,1,0.000000,12.730293
1216,6,16.326334,0,0.000000,16.326334
1376,6,16.326334,0,0.000000,16.326334
1455,6,16.326334,1,0.000000,13.061067
1686,7,16.907556,2,0.000000,0.000000
1736,7,16.907556,2,0.000000,0.000000
1796,7,16.907556,1,0.000000,0.000000
1824,7,16.907556,2,0.000000,0.000000
1875,7,16.907556,1,0.000000,16.224563
1894,7,16.907556,2,0.000000,14.749515
2055,7,16.907556,1,0.000000,15.432507
2184,7,16.907556,0,0.000000,16.907556
2305,7,16.907556,1,0.000000,14.725992
2605,8,20.057166,2,0.000000,16.088042
2774,8,20.057166,2,0.000000,16.088042
2774,9,20.431375,1,0.000000,18.388238
2905,9,20.431375,1,0.000000,18.388238
2976,9,20.431375,2,0.000000,14.710590
3055,10,22.091388,1,0.000000,17.673110
3055,11,24.582866,1,0.000000,19.666293
3176,11,24.582866,1,0.000000,19.666293
3324,11,24.582866,0,0.000000,24.582866
3496,11,24.582866,1,0.000000,0.000000
3776,11,24.582866,2,0.000000,0.000000
3985,12,25.010044,3,0.000000,0.000000
4096,12,25.010044,3,0.000000,0.000000
4096,13,25.070970,4,0.000000,0.000000
4136,13,25.070970,4,0.000000,0.000000
4355,13,25.070970,3,0.000000,23.833819
4494,13,25.070970,2,0.000000,24.456688
4527,13,25.070970,1,0.000000,24.643793
4755,13,25.070970,0,0.000000,25.070970
4767,14,26.716546,1,0.000000,24.044891
4886,14,26.716546,1,0.000000,24.044891
4904,14,26.716546,2,0.000000,19.235913
5146,15,27.640364,1,0.000000,22.112291
5226,16,28.141846,1,0.000000,22.513476
5376,16,28.141846,1,0.000000,22.513476
5486,16,28.141846,0,0.000000,28.141846
5566,16,28.141846,1,0.000000,0.000000
5656,17,31.842893,2,0.000000,0.000000
5754,17,31.842893,2,0.000000,0.000000
5855,18,35.123877,1,0.000000,34.998507
6045,18,35.123877,1,0.000000,34.998507
6075,19,39.009112,0,0.000000,39.009112
6086,20,39.564692,0,0.000000,39.564692
6275,20,39.564692,0,0.000000,39.564692
6305,21,39.854044,2,0.000000,34.302473
6315,22,40.665591,2,0.000000,35.114020
6475,22,40.665591,2,0.000000,35.114020
6525,22,40.665591,1,0.000000,36.964544
6577,22,40.665591,3,0.000000,26.614472
6624,22,40.665591,5,0.000000,0.000000
6666,23,43.483091,4,0.000000,0.000000
6705,23,43.483091,4,0.000000,0.000000
6715,23,43.483091,3,0.000000,0.000000
6727,23,43.483091,2,0.000000,31.307826
6835,23,43.483091,4,0.000000,27.111772
6865,23,43.483091,6,0.000000,27.111772
6946,24,44.623236,5,0.000000,27.932676
7006,24,44.623236,5,0.000000,27.932676
7035,24,44.623236,4,0.000000,27.932676
7097,24,44.623236,6,0.000000,0.000000
7137,24,44.623236,8,0.000000,0.000000
7236,24,44.623236,7,0.000000,0.000000
7254,24,44.623236,6,0.000000,0.000000
7366,24,44.623236,8,0.000000,0.000000
7376,24,44.623236,7,0.000000,0.000000
7505,24,44.623236,6,0.000000,0.000000
7604,24,44.623236,5,0.000000,30.630041
7625,24,44.623236,4,0.000000,34.033379
7697,25,45.435229,3,0.000000,34.794090
7716,25,45.435229,3,0.000000,34.794090
7736,25,45.435229,2,0.000000,34.794090
7776,25,45.435229,1,0.000000,36.348184
7796,25,45.435229,0,0.000000,45.435229
7946,26,46.090782,2,0.000000,0.000000
8175,27,47.346278,2,0.000000,0.000000
8264,27,47.346278,2,0.000000,0.000000
8305,28,50.379094,1,0.000000,0.000000
8346,28,50.379094,1,0.000000,0.000000
8355,29,53.843080,0,0.000000,53.843080
8474,29,53.843080,0,0.000000,53.843080
