millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
286,1,2.950097,0,0.000000,2.950097
316,1,2.950097,0,0.000000,2.950097
727,2,5.951569,1,0.000000,4.761255
787,2,5.951569,1,0.000000,4.761255
1096,3,8.173071,0,0.000000,8.173071
1126,4,8.754292,0,0.000000,8.754292
1206,5,9.128502,0,0.000000,9.128502
1257,6,11.310066,0,0.000000,11.310066
1407,6,11.310066,0,0.000000,11.310066
1548,6,11.310066,1,0.000000,9.048053
1687,6,11.310066,2,0.000000,8.931808
1736,6,11.310066,3,0.000000,8.043208
1867,7,14.549796,4,0.000000,8.233814
1977,7,14.549796,4,0.000000,8.233814
1987,8,17.041274,5,0.000000,9.204297
2046,8,17.041274,5,0.000000,9.204297
2156,8,17.041274,4,0.000000,11.505371
2177,8,17.041274,3,0.000000,12.783746
2285,8,17.041274,2,0.000000,12.929051
2316,8,17.041274,1,0.000000,15.930523
2498,8,17.041274,0,0.000000,17.041274
2817,8,17.041274,1,0.000000,13.633019
2817,9,17.468452,2,0.000000,13.974761
2837,10,20.618062,2,0.000000,16.494450
2956,10,20.618062,2,0.000000,16.494450
2977,10,20.618062,1,0.000000,16.494450
3217,11,22.278074,0,0.000000,22.278074
3236,12,25.010044,0,0.000000,25.010044
3286,12,25.010044,0,0.000000,25.010044
3416,12,25.010044,1,0.000000,24.903249
3515,13,25.511525,2,0.000000,23.829926
3515,14,28.792510,2,0.000000,27.110910
3556,14,28.792510,2,0.000000,27.110910
3597,14,28.792510,3,0.000000,26.609428
3688,14,28.792510,2,0.000000,26.716223
3736,14,28.792510,1,0.000000,27.217704
3788,15,30.438085,0,0.000000,30.438085
3876,15,30.438085,0,0.000000,30.438085
3937,16,30.499012,1,0.000000,27.449111
3967,16,30.499012,1,0.000000,27.449111
4146,16,30.499012,2,0.000000,21.959289
4207,16,30.499012,3,0.000000,21.959289
4257,17,34.200059,4,0.000000,24.132288
4285,17,34.200059,4,0.000000,24.132288
4306,17,34.200059,3,0.000000,26.813654
4407,18,34.489412,4,0.000000,25.732742
4428,18,34.489412,4,0.000000,25.732742
4428,19,35.413230,4,0.000000,26.471796
4515,19,35.413230,3,0.000000,26.471796
4515,19,35.413230,2,0.000000,27.784190
4547,19,35.413230,1,0.000000,34.730238
4767,20,36.553375,0,0.000000,36.553375
4826,21,37.108954,0,0.000000,37.108954
5118,21,37.108954,0,0.000000,37.108954
5197,21,37.108954,1,0.000000,36.553375
5236,21,37.108954,2,0.000000,32.898037
5246,21,37.108954,3,0.000000,26.318430
5388,22,39.926454,4,0.000000,28.347029
5467,22,39.926454,4,0.000000,28.347029
5486,23,43.811689,5,0.000000,30.637248
5497,23,43.811689,5,0.000000,30.637248
5568,23,43.811689,4,0.000000,30.637248
5617,23,43.811689,5,0.000000,30.226796
5656,23,43.811689,4,0.000000,30.733946
5666,23,43.811689,3,0.000000,31.133964
5757,23,43.811689,2,0.000000,31.544416
5818,23,43.811689,1,0.000000,35.049351
6217,24,44.467241,0,0.000000,44.467241
6296,24,44.467241,0,0.000000,44.467241
6367,24,44.467241,1,0.000000,40.582006
6567,25,47.931227,2,0.000000,39.641393
6718,25,47.931227,2,0.000000,39.641393
6836,26,48.742774,1,0.000000,43.868497
6866,27,49.998271,1,0.000000,44.998444
6947,27,49.998271,1,0.000000,44.998444
7046,27,49.998271,0,0.000000,49.998271
7147,28,53.186851,1,0.000000,42.549481
7186,29,56.219667,1,0.000000,44.975734
7216,29,56.219667,1,0.000000,44.975734
7235,29,56.219667,0,0.000000,56.219667
7236,30,57.031661,1,0.000000,45.625329
7377,30,57.031661,1,0.000000,45.625329
7517,30,57.031661,2,0.000000,45.374229
7518,30,57.031661,3,0.000000,44.161103
7715,30,57.031661,2,0.000000,55.201379
7766,30,57.031661,1,0.000000,56.717787
7786,31,58.356554,2,0.000000,57.230686
7866,31,58.356554,2,0.000000,57.230686
7948,31,58.356554,1,0.000000,57.544560
7956,32,59.858419,2,0.000000,53.141783
8006,32,59.858419,2,0.000000,53.141783
8107,32,59.858419,1,0.000000,59.046426
8256,33,63.496649,0,0.000000,63.496649
8656,33,63.496649,0,0.000000,63.496649
8747,34,64.871450,1,0.000000,51.897160
8765,34,64.871450,1,0.000000,51.897160
8817,34,64.871450,3,0.000000,51.169514
8846,34,64.871450,4,0.000000,50.568768
8906,35,67.058893,3,0.000000,52.318722
9037,35,67.058893,3,0.000000,52.318722
