millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
316,1,3.001472,0,0.000000,3.001472
504,2,5.222974,0,0.000000,5.222974
575,3,7.404538,0,0.000000,7.404538
585,4,7.778748,0,0.000000,7.778748
835,5,10.728844,0,0.000000,10.728844
905,6,11.310066,0,0.000000,11.310066
924,6,11.310066,0,0.000000,11.310066
1154,6,11.310066,1,0.000000,10.179059
1214,7,13.801544,2,0.000000,9.937112
1274,7,13.801544,2,0.000000,9.937112
1315,7,13.801544,1,0.000000,11.041236
1366,7,13.801544,2,0.000000,11.041236
1395,8,17.041274,1,0.000000,13.633019
1455,8,17.041274,1,0.000000,13.633019
1496,8,17.041274,0,0.000000,17.041274
1525,8,17.041274,1,0.000000,16.947722
1575,9,18.701287,2,0.000000,17.361995
1614,9,18.701287,2,0.000000,17.361995
1675,9,18.701287,3,0.000000,16.780773
1693,9,18.701287,2,0.000000,16.874326
1715,9,18.701287,3,0.000000,15.186893
1725,10,21.850897,4,0.000000,14.417234
1744,10,21.850897,4,0.000000,14.417234
1795,10,21.850897,3,0.000000,15.314166
1825,10,21.850897,4,0.000000,15.314166
1865,10,21.850897,3,0.000000,15.732646
1875,10,21.850897,2,0.000000,15.732646
1906,11,24.582866,1,0.000000,19.666293
1975,11,24.582866,2,0.000000,19.036371
1996,11,24.582866,2,0.000000,23.795464
2006,12,25.010044,1,0.000000,24.222641
2055,12,25.010044,1,0.000000,24.222641
2115,12,25.010044,2,0.000000,22.856656
2115,13,26.655619,2,0.000000,24.502232
2205,14,27.157101,1,0.000000,25.791116
2305,14,27.157101,1,0.000000,25.791116
2446,14,27.157101,0,0.000000,27.157101
2447,15,30.858149,1,0.000000,29.212573
2536,15,30.858149,1,0.000000,29.212573
2653,15,30.858149,2,0.000000,26.291316
2685,15,30.858149,1,0.000000,27.772334
2714,15,30.858149,2,0.000000,22.217867
2774,15,30.858149,1,0.000000,24.686519
2806,15,30.858149,2,0.000000,24.686519
2864,15,30.858149,1,0.000000,24.686519
3655,16,34.139133,0,0.000000,34.139133
3974,17,34.694712,0,0.000000,34.694712
4146,18,34.984065,0,0.000000,34.984065
4336,19,35.907883,0,0.000000,35.907883
4586,20,35.968810,0,0.000000,35.968810
4615,21,38.786309,0,0.000000,38.786309
4666,21,38.786309,0,0.000000,37.966063
4845,21,38.786309,2,0.000000,37.688273
4934,22,42.671544,2,0.000000,41.573508
5095,22,42.671544,2,0.000000,41.573508
5095,22,42.671544,3,0.000000,40.649690
