millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
1683,1,0.374209,0,0.000000,0.374209
1893,2,3.324306,0,0.000000,3.324306
2053,2,3.324306,0,0.000000,3.324306
2094,3,6.325778,1,0.000000,5.951569
2154,3,6.325778,1,0.000000,5.951569
2224,4,8.547280,2,0.000000,5.222974
2324,4,8.547280,2,0.000000,5.222974
2333,5,10.728844,1,0.000000,7.778748
2434,5,10.728844,1,0.000000,7.778748
2483,5,10.728844,2,0.000000,5.557246
2784,5,10.728844,1,0.000000,8.507342
3012,5,10.728844,0,0.000000,10.728844
3212,6,11.310066,1,0.000000,8.308594
3293,6,11.310066,1,0.000000,8.308594
3402,7,14.549796,2,0.000000,11.002932
3492,7,14.549796,2,0.000000,11.002932
3713,7,14.549796,1,0.000000,14.004405
3743,8,16.195371,0,0.000000,16.195371
3763,8,16.195371,0,0.000000,16.195371
3983,8,16.195371,1,0.000000,15.904761
4183,8,16.195371,2,0.000000,14.259185
4213,9,18.927341,3,0.000000,13.751424
4423,9,18.927341,3,0.000000,13.751424
4612,10,22.076951,2,0.000000,17.191645
4623,10,22.076951,2,0.000000,17.191645
4822,10,22.076951,1,0.000000,18.837221
4883,10,22.076951,0,0.000000,22.076951
5123,10,22.076951,1,0.000000,18.927341
5143,11,22.578433,2,0.000000,16.696853
5193,12,23.005610,2,0.000000,17.124031
5252,12,23.005610,2,0.000000,17.124031
5303,12,23.005610,3,0.000000,17.017236
5344,13,25.497089,2,0.000000,22.658325
5402,13,25.497089,2,0.000000,22.658325
5452,13,25.497089,3,0.000000,21.412586
5513,13,25.497089,2,0.000000,24.144555
5794,13,25.497089,1,0.000000,24.251349
6051,13,25.497089,0,0.000000,25.497089
6653,14,25.558016,1,0.000000,25.056534
6702,14,25.558016,1,0.000000,25.056534
6713,14,25.558016,2,0.000000,24.995607
6903,14,25.558016,1,0.000000,25.497089
7262,15,27.218028,0,0.000000,27.218028
7343,15,27.218028,0,0.000000,27.218028
7632,16,30.919075,1,0.000000,29.259063
7732,16,30.919075,1,0.000000,29.259063
8063,17,31.842893,2,0.000000,26.481833
8094,17,31.842893,2,0.000000,26.481833
8343,17,31.842893,1,0.000000,28.141846
8543,17,31.842893,0,0.000000,31.842893
8962,18,32.498445,1,0.000000,32.267491
9263,18,32.498445,1,0.000000,32.267491
9363,19,36.383680,0,0.000000,36.383680
9592,19,36.383680,0,0.000000,36.383680
9943,19,36.383680,1,0.000000,34.441063
10463,20,37.523825,2,0.000000,34.925655
10582,21,37.813177,2,0.000000,35.215008
10642,21,37.813177,2,0.000000,35.215008
10683,21,37.813177,1,0.000000,37.157625
10693,21,37.813177,0,0.000000,37.813177
10832,21,37.813177,1,0.000000,36.673033
10843,22,38.368757,2,0.000000,36.939260
10993,22,38.368757,2,0.000000,36.939260
10993,23,41.649741,1,0.000000,41.360388
11205,23,41.649741,1,0.000000,41.360388
11413,23,41.649741,2,0.000000,40.804809
11833,23,41.649741,1,0.000000,41.094161
11913,23,41.649741,2,0.000000,40.273915
12244,24,44.467241,1,0.000000,43.646995
12693,24,44.467241,1,0.000000,43.646995
12742,25,45.278788,0,0.000000,45.278788
13104,25,45.278788,0,0.000000,45.278788
13243,25,45.278788,1,0.000000,43.870038
13543,26,46.534285,2,0.000000,44.313988
13782,26,46.534285,2,0.000000,44.313988
13833,27,49.998271,3,0.000000,46.522477
13933,27,49.998271,3,0.000000,46.522477
14042,27,49.998271,2,0.000000,47.931227
14102,27,49.998271,3,0.000000,44.467241
14113,27,49.998271,2,0.000000,45.278788
14264,27,49.998271,1,0.000000,46.534285
14464,28,51.500136,0,0.000000,51.500136
14752,28,51.500136,0,0.000000,51.500136
14833,29,54.532952,1,0.000000,53.031087
14912,29,54.532952,1,0.000000,53.031087
15052,29,54.532952,2,0.000000,52.272883
15492,30,55.857845,1,0.000000,55.099641
15542,30,55.857845,1,0.000000,55.099641
15592,30,55.857845,0,0.000000,55.857845
15903,31,59.046426,1,0.000000,58.383979
16054,31,59.046426,1,0.000000,58.383979
16252,31,59.046426,0,0.000000,59.046426
16513,32,61.233868,1,0.000000,58.045288
16602,33,64.872098,1,0.000000,61.683517
16693,33,64.872098,1,0.000000,61.683517
