millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
324,1,3.001472,0,0.000000,3.001472
326,2,5.222974,0,0.000000,5.222974
384,3,8.173071,0,0.000000,8.173071
606,4,10.354635,0,0.000000,10.354635
615,4,10.354635,0,0.000000,9.799259
623,4,10.354635,1,0.000000,8.298523
644,4,10.354635,2,0.000000,8.298523
665,5,13.086604,3,0.000000,8.080396
714,5,13.086604,3,0.000000,8.080396
736,6,13.667826,2,0.000000,9.216993
743,7,15.313402,2,0.000000,10.862569
764,7,15.313402,2,0.000000,10.862569
794,7,15.313402,1,0.000000,12.363305
814,7,15.313402,0,0.000000,15.313402
995,8,18.463012,1,0.000000,16.616711
1053,8,18.463012,1,0.000000,16.616711
1143,9,18.890189,0,0.000000,18.890189
1204,10,19.264398,0,0.000000,19.264398
1254,11,22.504128,0,0.000000,22.504128
1323,11,22.504128,0,0.000000,22.504128
1414,12,22.565055,1,0.000000,18.052044
1484,12,22.565055,1,0.000000,18.052044
1544,12,22.565055,0,0.000000,22.565055
1603,12,22.565055,1,0.000000,0.000000
1644,12,22.565055,3,0.000000,0.000000
1683,13,25.056534,3,0.000000,0.000000
1704,13,25.056534,3,0.000000,0.000000
1704,13,25.056534,3,0.000000,0.000000
1727,13,25.056534,5,0.000000,0.000000
1734,14,28.337518,4,0.000000,24.648709
1735,15,32.038565,4,0.000000,27.979651
1754,16,33.698578,4,0.000000,29.473662
1765,16,33.698578,4,0.000000,29.501079
1788,16,33.698578,3,0.000000,32.778977
1845,16,33.698578,2,0.000000,32.778977
1893,16,33.698578,1,0.000000,33.324368
1893,17,34.200059,1,0.000000,33.825850
1992,17,34.200059,0,0.000000,34.200059
2003,17,34.200059,2,0.000000,0.000000
2003,17,34.200059,2,0.000000,0.000000
2023,17,34.200059,6,0.000000,0.000000
2175,17,34.200059,8,0.000000,0.000000
2175,17,34.200059,8,0.000000,0.000000
2344,18,34.755639,12,0.000000,0.000000
2455,19,35.411191,12,0.000000,0.000000
2465,19,35.411191,12,0.000000,0.000000
2597,19,35.411191,14,0.000000,0.000000
2643,19,35.411191,13,0.000000,0.000000
2704,19,35.411191,12,0.000000,0.000000
2723,19,35.411191,11,0.000000,0.000000
2734,19,35.411191,10,0.000000,0.000000
2875,19,35.411191,9,0.000000,0.000000
2893,19,35.411191,8,0.000000,0.000000
2934,19,35.411191,7,0.000000,0.000000
2984,20,36.335009,6,0.000000,0.000000
3043,20,36.335009,6,0.000000,0.000000
3125,20,36.335009,5,0.000000,0.000000
3134,20,36.335009,4,0.000000,0.000000
3143,20,36.335009,2,0.000000,0.000000
3164,20,36.335009,2,0.000000,0.000000
3164,20,36.335009,2,0.000000,0.000000
3165,21,36.624362,6,0.000000,0.000000
3273,21,36.624362,6,0.000000,0.000000
3315,21,36.624362,5,0.000000,0.000000
3325,21,36.624362,4,0.000000,32.019406
3364,21,36.624362,3,0.000000,32.314405
3374,21,36.624362,2,0.000000,32.814426
3405,22,40.509596,5,0.000000,0.000000
3413,22,40.509596,5,0.000000,0.000000
3473,22,40.509596,4,0.000000,0.000000
3503,23,43.327096,3,0.000000,0.000000
3604,23,43.327096,3,0.000000,0.000000
3604,24,44.467241,2,0.000000,0.000000
3743,24,44.467241,2,0.000000,0.000000
3753,25,47.500057,5,0.000000,0.000000
3773,26,48.311604,5,0.000000,0.000000
3824,26,48.311604,5,0.000000,38.170272
3895,26,48.311604,7,0.000000,0.000000
3983,26,48.311604,7,0.000000,0.000000
3994,26,48.311604,6,0.000000,0.000000
4074,26,48.311604,9,0.000000,0.000000
4155,26,48.311604,8,0.000000,0.000000
4184,26,48.311604,11,0.000000,0.000000
4225,26,48.311604,14,0.000000,0.000000
4226,26,48.311604,13,0.000000,0.000000
4355,26,48.311604,12,0.000000,0.000000
4414,26,48.311604,11,0.000000,0.000000
4434,26,48.311604,10,0.000000,0.000000
4523,26,48.311604,9,0.000000,0.000000
4524,26,48.311604,9,0.000000,0.000000
4524,26,48.311604,7,0.000000,0.000000
4554,27,49.123597,6,0.000000,0.000000
4574,27,49.123597,6,0.000000,0.000000
4604,27,49.123597,4,0.000000,0.000000
4623,27,49.123597,3,0.000000,0.000000
4634,27,49.123597,3,0.000000,0.000000
