millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
1405,1,2.950097,0,0.000000,2.950097
1816,1,2.950097,0,0.000000,2.950097
2304,2,5.131661,1,0.000000,4.618495
2383,3,7.353163,1,0.000000,6.617846
2504,3,7.353163,1,0.000000,6.617846
2603,3,7.353163,0,0.000000,7.353163
2915,3,7.353163,1,0.000000,6.617846
3066,4,10.085132,2,0.000000,8.585767
3135,5,13.086604,2,0.000000,11.287092
3295,5,13.086604,2,0.000000,11.287092
3385,5,13.086604,3,0.000000,10.057706
3446,5,13.086604,2,0.000000,11.175229
3473,5,13.086604,1,0.000000,11.720620
3943,5,13.086604,0,0.000000,13.086604
4005,6,13.667826,1,0.000000,10.666354
4295,7,16.159305,1,0.000000,13.157832
4415,7,16.159305,1,0.000000,13.157832
4645,8,19.399034,0,0.000000,19.399034
4675,8,19.399034,0,0.000000,19.399034
4675,9,19.773244,1,0.000000,17.795919
4784,9,19.773244,1,0.000000,17.795919
4835,9,19.773244,2,0.000000,17.795919
5015,9,19.773244,3,0.000000,17.795919
5055,9,19.773244,2,0.000000,17.795919
5055,10,22.922854,3,0.000000,20.069986
5314,10,22.922854,3,0.000000,20.069986
5435,10,22.922854,2,0.000000,20.069986
5595,10,22.922854,1,0.000000,20.630569
5653,10,22.922854,2,0.000000,19.213244
5715,11,24.568430,1,0.000000,22.993624
5774,11,24.568430,1,0.000000,22.993624
6056,11,24.568430,0,0.000000,24.568430
7175,12,24.995607,1,0.000000,23.350031
7473,12,24.995607,1,0.000000,23.350031
7516,13,26.655619,0,0.000000,26.655619
7555,14,27.157101,0,0.000000,27.157101
7845,14,27.157101,0,0.000000,27.157101
7894,14,27.157101,1,0.000000,24.441391
7915,14,27.157101,2,0.000000,24.441391
8636,15,28.080919,3,0.000000,25.272827
8654,16,31.361903,3,0.000000,28.225713
8775,16,31.361903,3,0.000000,28.225713
8886,16,31.361903,4,0.000000,27.487491
9053,16,31.361903,3,0.000000,27.487491
9147,17,31.422830,2,0.000000,27.542325
9154,18,35.123877,2,0.000000,30.873268
9223,18,35.123877,2,0.000000,30.873268
9284,18,35.123877,1,0.000000,34.303631
9443,18,35.123877,2,0.000000,32.453107
9474,18,35.123877,3,0.000000,31.529290
9705,18,35.123877,2,0.000000,32.349536
9864,18,35.123877,1,0.000000,34.200059
10026,19,35.779429,0,0.000000,35.779429
10105,19,35.779429,0,0.000000,35.779429
10795,20,36.335009,1,0.000000,32.701508
10895,20,36.335009,1,0.000000,32.701508
11225,20,36.335009,2,0.000000,32.701508
11345,20,36.335009,1,0.000000,32.701508
11596,21,40.220244,0,0.000000,40.220244
11744,21,40.220244,0,0.000000,40.220244
11926,22,40.509596,1,0.000000,36.458637
11974,22,40.509596,1,0.000000,35.584459
12134,23,41.649741,2,0.000000,36.610589
12185,24,42.461735,2,0.000000,37.341384
12344,24,42.461735,2,0.000000,37.341384
12414,24,42.461735,1,0.000000,41.084429
12465,24,42.461735,2,0.000000,41.084429
12485,25,43.273282,1,0.000000,42.867285
12566,25,43.273282,1,0.000000,42.867285
12567,26,46.306098,1,0.000000,45.900101
12574,26,46.306098,0,0.000000,46.306098
12705,26,46.306098,1,0.000000,46.016745
12805,27,49.770084,2,0.000000,44.532658
12852,27,49.770084,2,0.000000,44.532658
12944,27,49.770084,3,0.000000,44.532658
13165,27,49.770084,4,0.000000,44.532658
13235,27,49.770084,3,0.000000,44.793076
13324,27,49.770084,4,0.000000,44.110692
13444,28,53.408314,3,0.000000,47.385099
13504,28,53.408314,3,0.000000,47.385099
13575,28,53.408314,2,0.000000,47.385099
13605,28,53.408314,1,0.000000,48.067482
13625,29,54.663810,0,0.000000,54.663810
13935,30,57.852391,0,0.000000,57.852391
14158,31,59.693973,0,0.000000,59.693973
14216,32,62.511473,0,0.000000,62.511473
14434,32,62.511473,0,0.000000,62.511473
14455,32,62.511473,1,0.000000,61.102723
14615,32,62.511473,2,0.000000,57.464493
14635,32,62.511473,3,0.000000,51.718044
14865,32,62.511473,4,0.000000,51.718044
15034,33,62.607461,5,0.000000,51.804433
15084,34,63.932354,5,0.000000,52.996837
15146,34,63.932354,5,0.000000,52.996837
15215,34,63.932354,6,0.000000,52.698736
15334,35,66.119797,5,0.000000,57.941841
15405,35,66.119797,5,0.000000,57.941841
15406,36,67.601566,6,0.000000,59.232239
15424,36,67.601566,6,0.000000,59.232239
