millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
497,1,3.001472,0,0.000000,3.001472
537,2,5.951569,0,0.000000,5.951569
915,3,8.173071,0,0.000000,8.173071
1266,4,11.412801,0,0.000000,11.412801
1347,4,11.412801,0,0.000000,11.412801
1455,4,11.412801,1,0.000000,10.271520
1527,4,11.412801,2,0.000000,10.271520
1595,4,11.412801,3,0.000000,10.271520
2366,5,13.058376,4,0.000000,11.023599
2456,5,13.058376,4,0.000000,11.023599
2536,5,13.058376,3,0.000000,11.023599
2677,5,13.058376,2,0.000000,11.023599
2786,5,13.058376,1,0.000000,12.248444
2786,5,13.058376,2,0.000000,11.425656
2895,6,15.790346,1,0.000000,14.967558
2946,6,15.790346,1,0.000000,14.967558
3025,7,16.164555,0,0.000000,16.164555
3075,7,16.164555,0,0.000000,16.164555
3257,8,16.745776,1,0.000000,14.013807
3526,8,16.745776,1,0.000000,14.013807
3556,8,16.745776,0,0.000000,16.745776
3646,9,19.895387,1,0.000000,17.905848
3906,9,19.895387,1,0.000000,17.905848
4046,9,19.895387,2,0.000000,17.905848
4136,9,19.895387,1,0.000000,17.905848
4416,9,19.895387,2,0.000000,17.905848
4527,9,19.895387,1,0.000000,17.905848
5145,10,20.322564,0,0.000000,20.322564
5275,11,21.982576,0,0.000000,21.982576
5325,12,24.164141,0,0.000000,24.164141
5355,13,27.445125,0,0.000000,27.445125
5458,13,27.445125,0,0.000000,27.445125
5486,14,29.936603,1,0.000000,29.116357
5605,14,29.936603,1,0.000000,29.116357
5665,14,29.936603,0,0.000000,29.936603
5736,14,29.936603,1,0.000000,28.690864
5807,14,29.936603,2,0.000000,26.509300
5886,14,29.936603,3,0.000000,23.858370
6646,15,29.997530,4,0.000000,23.913204
6686,15,29.997530,4,0.000000,23.913204
6736,16,30.553110,5,0.000000,24.413226
6765,17,31.054592,5,0.000000,24.864559
6837,18,34.755639,5,0.000000,28.195502
6845,18,34.755639,5,0.000000,28.195502
6958,18,34.755639,6,0.000000,28.082669
6985,18,34.755639,5,0.000000,28.082669
6985,18,34.755639,5,0.000000,28.082669
7065,18,34.755639,5,0.000000,27.538363
7145,18,34.755639,4,0.000000,27.538363
7207,18,34.755639,3,0.000000,30.598181
7275,18,34.755639,2,0.000000,30.723551
7505,18,34.755639,1,0.000000,32.574075
7736,18,34.755639,0,0.000000,34.755639
