millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
904,1,3.001472,0,0.000000,3.001472
1254,2,3.375681,0,0.000000,3.375681
1443,2,3.375681,0,0.000000,3.375681
1443,3,5.597183,1,0.000000,4.477747
1575,3,5.597183,1,0.000000,4.477747
1603,3,5.597183,0,0.000000,5.597183
1623,3,5.597183,1,0.000000,5.503631
1644,4,6.178405,2,0.000000,4.974102
1803,5,9.418135,2,0.000000,8.213832
1823,5,9.418135,2,0.000000,8.213832
1945,5,9.418135,1,0.000000,8.307384
1945,6,12.150104,2,0.000000,7.799623
2006,6,12.150104,2,0.000000,7.799623
2034,6,12.150104,1,0.000000,8.910374
2203,6,12.150104,0,0.000000,12.150104
2505,6,12.150104,1,0.000000,10.935094
2805,7,13.795680,2,0.000000,9.932889
2875,7,13.795680,2,0.000000,9.932889
2984,7,13.795680,1,0.000000,11.036544
3064,8,16.945290,0,0.000000,16.945290
3375,9,19.436769,0,0.000000,19.436769
3575,10,21.096781,0,0.000000,21.096781
3604,11,23.278345,0,0.000000,23.278345
3614,12,26.228442,0,0.000000,26.228442
3734,12,26.228442,0,0.000000,26.228442
3794,12,26.228442,1,0.000000,20.982753
3904,13,29.929489,2,0.000000,23.614476
3993,14,29.990416,2,0.000000,23.663218
4034,14,29.990416,2,0.000000,23.663218
4094,14,29.990416,3,0.000000,22.403374
4124,14,29.990416,2,0.000000,28.004217
4133,14,29.990416,3,0.000000,27.943290
4164,14,29.990416,2,0.000000,28.354684
4203,14,29.990416,3,0.000000,25.519216
4224,14,29.990416,2,0.000000,25.574050
4245,14,29.990416,3,0.000000,20.459240
4293,14,29.990416,2,0.000000,21.593100
4304,14,29.990416,1,0.000000,23.992333
4373,14,29.990416,0,0.000000,29.990416
4514,14,29.990416,1,0.000000,23.992333
4604,15,33.271400,2,0.000000,26.180807
4693,15,33.271400,2,0.000000,26.180807
4706,16,34.195218,3,0.000000,25.607468
4713,17,34.750798,3,0.000000,26.051932
4884,17,34.750798,3,0.000000,26.051932
5073,17,34.750798,2,0.000000,27.364325
5123,17,34.750798,1,0.000000,34.205407
5175,17,34.750798,2,0.000000,33.649827
5245,17,34.750798,1,0.000000,34.195218
5434,18,35.177975,0,0.000000,35.177975
5484,19,39.063210,0,0.000000,39.063210
5564,19,39.063210,0,0.000000,39.063210
5573,19,39.063210,1,0.000000,35.156889
5664,20,39.564692,2,0.000000,28.486578
5894,20,39.564692,2,0.000000,28.486578
5984,20,39.564692,3,0.000000,28.486578
