millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
478,1,2.950097,0,0.000000,2.950097
878,2,5.951569,0,0.000000,5.951569
1169,3,6.532790,0,0.000000,6.532790
1206,3,6.532790,0,0.000000,6.532790
1256,4,8.714355,1,0.000000,7.239306
1338,4,8.714355,1,0.000000,7.239306
1547,4,8.714355,0,0.000000,8.714355
1638,5,9.088564,1,0.000000,6.907000
1649,6,11.820533,1,0.000000,9.638969
1689,6,11.820533,1,0.000000,9.638969
1697,7,13.466109,2,0.000000,10.156090
1708,7,13.466109,2,0.000000,10.156090
1788,7,13.466109,3,0.000000,8.124872
1818,7,13.466109,4,0.000000,8.124872
1829,7,13.466109,3,0.000000,9.695598
1896,7,13.466109,2,0.000000,10.772887
1906,7,13.466109,1,0.000000,10.772887
1956,7,13.466109,2,0.000000,10.226493
2046,7,13.466109,3,0.000000,9.994005
2126,7,13.466109,2,0.000000,12.492506
2238,7,13.466109,1,0.000000,13.175498
2599,8,16.705839,0,0.000000,16.705839
2618,9,19.197318,0,0.000000,19.197318
2686,9,19.197318,0,0.000000,19.197318
2708,9,19.197318,1,0.000000,16.705839
3146,10,20.857330,2,0.000000,16.529266
3187,11,24.138314,2,0.000000,19.482152
3287,11,24.138314,2,0.000000,19.482152
3428,11,24.138314,1,0.000000,21.724483
3496,11,24.138314,0,0.000000,24.138314
3726,11,24.138314,1,0.000000,19.310651
4068,12,27.287924,2,0.000000,21.830339
4158,12,27.287924,2,0.000000,21.830339
4167,13,27.715102,1,0.000000,22.172081
4287,13,27.715102,1,0.000000,22.172081
4297,13,27.715102,2,0.000000,21.542159
4297,14,28.216583,1,0.000000,27.429181
4416,14,28.216583,1,0.000000,27.429181
4518,15,31.917631,2,0.000000,30.879487
4587,15,31.917631,2,0.000000,30.879487
4596,15,31.917631,1,0.000000,31.666890
4628,16,34.139133,2,0.000000,30.187344
4668,16,34.139133,2,0.000000,30.187344
4697,16,34.139133,1,0.000000,30.438085
4917,17,35.062950,0,0.000000,35.062950
5067,18,35.618530,0,0.000000,35.618530
5147,18,35.618530,0,0.000000,35.618530
5208,18,35.618530,1,0.000000,32.056677
5609,19,35.907883,2,0.000000,25.853676
5648,19,35.907883,2,0.000000,25.853676
5657,20,36.563435,3,0.000000,26.325673
5667,20,36.563435,3,0.000000,26.325673
5758,20,36.563435,4,0.000000,26.273590
5827,20,36.563435,3,0.000000,26.273590
5898,21,39.380935,2,0.000000,31.446877
5969,21,39.380935,2,0.000000,31.446877
6027,21,39.380935,1,0.000000,31.504748
6358,21,39.380935,2,0.000000,31.282516
