millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
132,1,2.950097,0,0.000000,2.950097
351,2,5.951569,0,0.000000,5.951569
451,3,6.532790,0,0.000000,6.532790
451,4,6.907000,0,0.000000,6.907000
741,5,8.552575,0,0.000000,8.552575
792,5,8.552575,0,0.000000,8.552575
902,6,11.792305,1,0.000000,11.380911
960,6,11.792305,1,0.000000,11.380911
1011,6,11.792305,0,0.000000,11.792305
1051,6,11.792305,1,0.000000,11.605201
1062,6,11.792305,2,0.000000,8.365471
1071,7,14.013807,3,0.000000,9.528275
1152,7,14.013807,4,0.000000,7.622620
1152,7,14.013807,3,0.000000,9.528275
1170,7,14.013807,3,0.000000,7.757336
1241,7,14.013807,4,0.000000,0.000000
1312,7,14.013807,3,0.000000,0.000000
1351,7,14.013807,2,0.000000,0.000000
1412,7,14.013807,1,0.000000,0.000000
1530,8,17.163417,0,0.000000,17.163417
1621,9,17.590595,0,0.000000,17.590595
1681,9,17.590595,0,0.000000,17.590595
1681,10,19.772159,1,0.000000,19.216784
1842,10,19.772159,1,0.000000,19.216784
1893,11,22.263638,0,0.000000,22.263638
2160,11,22.263638,0,0.000000,22.263638
2181,12,22.324564,1,0.000000,21.233782
2241,13,25.605548,1,0.000000,24.514766
2311,14,26.107030,1,0.000000,25.016248
2382,14,26.107030,1,0.000000,25.016248
2411,14,26.107030,2,0.000000,21.866638
2450,14,26.107030,1,0.000000,22.957420
2501,14,26.107030,2,0.000000,20.661678
2501,14,26.107030,2,0.000000,20.661678
2530,15,28.839000,2,0.000000,20.764080
2550,15,28.839000,2,0.000000,20.764080
2561,15,28.839000,3,0.000000,0.000000
2580,15,28.839000,2,0.000000,0.000000
2611,15,28.839000,1,0.000000,0.000000
2620,15,28.839000,2,0.000000,0.000000
2660,15,28.839000,1,0.000000,28.018754
2721,15,28.839000,2,0.000000,26.773014
2772,16,32.540047,1,0.000000,31.294308
2881,16,32.540047,1,0.000000,31.294308
3061,17,33.463865,0,0.000000,33.463865
3311,17,33.463865,0,0.000000,33.463865
3350,18,34.019445,1,0.000000,31.287475
3632,18,34.019445,1,0.000000,31.287475
3632,18,34.019445,2,0.000000,28.158728
3661,19,34.308797,1,0.000000,30.877918
3722,19,34.308797,1,0.000000,30.877918
3902,19,34.308797,0,0.000000,34.308797
3911,19,34.308797,1,0.000000,27.447038
4222,20,38.194032,2,0.000000,0.000000
4270,21,39.854044,2,0.000000,0.000000
4341,21,39.854044,2,0.000000,0.000000
4390,21,39.854044,1,0.000000,0.000000
4550,21,39.854044,0,0.000000,39.854044
4602,22,40.994189,1,0.000000,40.921851
4731,22,40.994189,1,0.000000,40.921851
4881,23,41.649741,0,0.000000,41.649741
4950,23,41.649741,0,0.000000,41.649741
4961,23,41.649741,2,0.000000,29.279817
4961,24,42.461288,4,0.000000,29.864131
5101,25,43.273282,4,0.000000,30.448767
5171,25,43.273282,4,0.000000,30.448767
5210,25,43.273282,6,0.000000,0.000000
5210,25,43.273282,6,0.000000,0.000000
5371,25,43.273282,7,0.000000,0.000000
5450,25,43.273282,9,0.000000,0.000000
5501,26,46.090782,8,0.000000,0.000000
5550,26,46.090782,8,0.000000,0.000000
5572,26,46.090782,7,0.000000,0.000000
5610,27,47.346278,6,0.000000,0.000000
5700,27,47.346278,6,0.000000,0.000000
5742,27,47.346278,5,0.000000,0.000000
5750,28,50.379094,4,0.000000,37.534214
5851,28,50.379094,4,0.000000,37.534214
5872,28,50.379094,3,0.000000,38.311260
6012,28,50.379094,2,0.000000,47.889076
6051,28,50.379094,4,0.000000,0.000000
6091,28,50.379094,6,0.000000,0.000000
6120,28,50.379094,8,0.000000,0.000000
6340,28,50.379094,7,0.000000,0.000000
6372,28,50.379094,6,0.000000,0.000000
6481,28,50.379094,5,0.000000,0.000000
6501,29,51.880959,4,0.000000,0.000000
6530,29,51.880959,4,0.000000,0.000000
6541,29,51.880959,6,0.000000,0.000000
6610,30,55.519189,5,0.000000,0.000000
6681,30,55.519189,5,0.000000,0.000000
6691,30,55.519189,4,0.000000,0.000000
6722,30,55.519189,3,0.000000,0.000000
6750,31,58.983175,2,0.000000,46.579977
6950,31,58.983175,2,0.000000,46.579977
6982,31,58.983175,1,0.000000,47.186540
7032,31,58.983175,0,0.000000,58.983175
7111,31,58.983175,2,0.000000,53.787196
7130,32,62.171756,4,0.000000,41.022559
7241,32,62.171756,4,0.000000,41.022559
7321,33,63.496649,3,0.000000,46.640536
7391,33,63.496649,3,0.000000,46.640536
7442,33,63.496649,6,0.000000,0.000000
7520,34,65.338232,8,0.000000,0.000000
7520,33,63.496649,5,0.000000,0.000000
7571,34,65.338232,8,0.000000,0.000000
7591,34,65.338232,7,0.000000,0.000000
7671,34,65.338232,6,0.000000,0.000000
7671,34,65.338232,5,0.000000,43.567260
7749,34,65.338232,4,0.000000,44.648603
7750,34,65.338232,7,0.000000,0.000000
7843,35,65.434220,6,0.000000,0.000000
7851,35,65.434220,6,0.000000,0.000000
7919,35,65.434220,5,0.000000,0.000000
7940,35,65.434220,4,0.000000,0.000000
8010,35,65.434220,3,0.000000,50.431824
8071,35,65.434220,2,0.000000,63.039780
8110,36,67.621662,1,0.000000,66.959215
8161,36,67.621662,1,0.000000,66.959215
8362,37,70.007658,0,0.000000,70.007658
8421,37,70.007658,0,0.000000,70.007658
8431,38,71.489428,3,0.000000,50.146448
8492,38,71.489428,3,0.000000,50.146448
8550,38,71.489428,6,0.000000,0.000000
8632,39,74.308376,5,0.000000,0.000000
8650,40,76.546671,5,0.000000,0.000000
8680,40,76.546671,5,0.000000,0.000000
8712,40,76.546671,4,0.000000,55.061770
8891,40,76.546671,7,0.000000,53.032127
8901,40,76.546671,6,0.000000,53.032127
8930,40,76.546671,9,0.000000,0.000000
8931,40,76.546671,15,0.000000,0.000000
8952,40,76.546671,15,0.000000,0.000000
9032,40,76.546671,14,0.000000,0.000000
9050,40,76.546671,13,0.000000,0.000000
9071,40,76.546671,12,0.000000,0.000000
9142,40,76.546671,11,0.000000,0.000000
9172,41,76.742380,10,0.000000,0.000000
9181,41,76.742380,10,0.000000,0.000000
9200,41,76.742380,9,0.000000,0.000000
9292,41,76.742380,12,0.000000,0.000000
9310,41,76.742380,11,0.000000,0.000000
9381,41,76.742380,10,0.000000,0.000000
9462,41,76.742380,9,0.000000,0.000000
9480,41,76.742380,8,0.000000,0.000000
9530,41,76.742380,7,0.000000,0.000000
9530,41,76.742380,7,0.000000,0.000000
9550,42,78.117181,9,0.000000,0.000000
9600,42,78.117181,9,0.000000,0.000000
9660,42,78.117181,8,0.000000,0.000000
9681,42,78.117181,7,0.000000,0.000000
9750,42,78.117181,6,0.000000,0.000000
9771,42,78.117181,5,0.000000,0.000000
9822,42,78.117181,4,0.000000,0.000000
9842,42,78.117181,3,0.000000,77.946403
9980,42,78.117181,2,0.000000,77.995330
10140,42,78.117181,1,0.000000,78.019327
10161,42,78.117181,4,0.000000,55.184059
10192,43,78.515026,3,0.000000,55.540962
10231,43,78.515026,3,0.000000,55.540962
10401,43,78.515026,6,0.000000,0.000000
10461,44,80.940509,5,0.000000,0.000000
10561,44,80.940509,5,0.000000,0.000000
10561,45,81.458489,4,0.000000,0.000000
10622,45,81.458489,4,0.000000,0.000000
10630,45,81.458489,3,0.000000,0.000000
10681,45,81.458489,2,0.000000,65.087223
10831,46,84.048682,1,0.000000,67.238945
10851,47,85.348792,1,0.000000,68.279033
